user_id,place_id,rating,title
1,1,4,Great Pyramid of Giza
1,2,4,Luxor Temple
1,3,4,Nile River Cruise
1,4,5,Valley of the Kings
1,5,5,Egyptian Antiquities Museum
1,6,3,Siwa Oasis at Libyan Border
1,7,5,The White Desert in Farafra
1,8,4,Sakkara Pyramids
1,9,5,Mosque of Mohamed Ali
1,10,5,Gezira Island
1,11,5,Zamalk
1,12,5,Great Sphinx of Giza
1,13,3,Tiran Island
1,14,5,Ras Muhammad National Park
1,15,4,King Tutankhamun Museum
1,16,5,Aqua Blue Water Park
1,17,3,Old Market of Sharm
1,18,3,Karnak Temple
1,19,5,Temple of Medinat Habu
1,20,4,Pyramids of Giza
1,21,4,Khan-el-Khalili
1,22,5,The Egyptian Museum
1,23,4,Old Cairo
1,24,3,Al Azhar Mosque
1,25,4,The Hanging Church
1,26,5,Museum Of Modern Egyptian Art
1,27,4,Statue of Ramesses II
1,28,3,Cairo Tower
1,29,5,Grand Egyptian Museum
1,30,4,Pyramid of Khafre
1,31,4,Giza Solar Boat Museum
1,32,5,Red and Bent Pyramid
1,34,4,Egypt Papyrus Museum
1,36,4,Pyramid of Djoser
1,38,4,Luxor Museum
1,39,5,Mortuary Temple of Hatshepsut - Deir el-Bahari
1,40,5,Valley of Artisans
1,41,3,Avenue of Sphinxes
1,42,5,Colossi of Memnon
1,43,3,Temple of Seti
1,44,4,Coptic Orthodox Church of Alexandria
1,45,3,Bibliotheca Alexandrina - Library in Alexandria
1,46,3,Citadel of Qaitbay or The Fort of Qaitbay
1,47,4,Alexandria National Museum
1,48,5,Stanley Bridge in Alexandria
1,49,5,The Blue Hole of Dahab
1,50,5,Mount Sinai
1,52,4,St. Catherine's Monastery
1,53,5,Dahab's Eel Garden
1,54,3,Coloured Canyon
1,55,5,Great Sand Sea in Siwa
1,57,5,Mit Ghamr Dovecotes
1,58,5,Samir Lama Memorial
1,60,5,Magic Lake in Fayoum
1,61,3,Fjord Bay
1,62,5,Fortress of Shali in Siwa Oasis
1,63,5,Philae Island
1,64,4,Mahmya Island
1,65,5,Sannur Valley Cave
1,66,4,Great Pyramid of Giza
1,68,5,Luxor Temple
1,69,5,Nile River Cruise
1,70,5,Valley of the Kings
1,71,4,Egyptian Antiquities Museum
1,72,5,Siwa Oasis at Libyan Border
1,73,5,The White Desert in Farafra
1,74,4,Sakkara Pyramids
1,75,5,Mosque of Mohamed Ali
1,76,5,Gezira Island
1,77,5,Zamalk
1,78,5,Great Sphinx of Giza
1,79,5,Tiran Island
1,80,4,Ras Muhammad National Park
1,81,5,King Tutankhamun Museum
1,82,5,Aqua Blue Water Park
1,83,4,Old Market of Sharm
1,85,2,Karnak Temple
1,86,5,Temple of Medinat Habu
1,87,5,Pyramids of Giza
1,88,5,Khan-el-Khalili
1,89,5,The Egyptian Museum
1,92,5,Old Cairo
1,93,5,Al Azhar Mosque
1,94,3,The Hanging Church
1,95,4,Museum Of Modern Egyptian Art
1,96,5,Statue of Ramesses II
1,97,5,Cairo Tower
1,99,5,Grand Egyptian Museum
1,100,5,Pyramid of Khafre
1,101,5,Giza Solar Boat Museum
1,102,5,Red and Bent Pyramid
1,103,4,Egypt Papyrus Museum
1,104,3,Pyramid of Djoser
1,105,3,Luxor Museum
1,106,3,Mortuary Temple of Hatshepsut - Deir el-Bahari
1,107,3,Valley of Artisans
1,108,4,Avenue of Sphinxes
1,110,4,Colossi of Memnon
1,111,5,Temple of Seti
1,112,4,Coptic Orthodox Church of Alexandria
1,113,5,Bibliotheca Alexandrina - Library in Alexandria
1,116,3,Citadel of Qaitbay or The Fort of Qaitbay
1,117,5,Alexandria National Museum
1,118,5,Stanley Bridge in Alexandria
1,119,4,The Blue Hole of Dahab
1,121,5,Mount Sinai
1,122,3,St. Catherine's Monastery
1,123,3,Dahab's Eel Garden
1,125,5,Coloured Canyon
1,126,4,Great Sand Sea in Siwa
1,128,4,Mit Ghamr Dovecotes
1,129,5,Samir Lama Memorial
1,132,4,Magic Lake in Fayoum
1,135,4,Fjord Bay
1,137,5,Fortress of Shali in Siwa Oasis
1,140,5,Philae Island
1,141,4,Mahmya Island
1,144,4,Sannur Valley Cave
1,145,5,Great Pyramid of Giza
1,146,4,Luxor Temple
1,147,5,Nile River Cruise
1,148,4,Valley of the Kings
1,149,5,Egyptian Antiquities Museum
1,150,4,Siwa Oasis at Libyan Border
1,151,5,The White Desert in Farafra
1,152,4,Sakkara Pyramids
